AGE,YOJ,INCOME,TRAVTIME,CAR_USE,BLUEBOOK,CAR_TYPE,RED_CAR,MVR_PTS,CAR_AGE,URBANICITY,RISK_VALUE
43.0,13.0,37214.0,52,Commercial,26560.0,Panel Truck,yes,3,1.0,Highly Urban/ Urban,6
48.0,14.0,96274.0,36,Private,11130.0,SUV,no,5,14.0,Highly Urban/ Urban,6
47.0,11.0,46281.0,29,Private,19700.0,Minivan,no,1,5.0,Highly Urban/ Urban,4
44.0,0.0,0.0,8,Private,5900.0,SUV,no,0,11.0,Highly Urban/ Urban,4
46.0,14.0,0.0,7,Commercial,25660.0,Panel Truck,no,2,12.0,Highly Urban/ Urban,5
60.0,12.0,37940.0,16,Commercial,11290.0,Sports Car,no,0,1.0,Highly Urban/ Urban,6
33.0,13.0,79606.0,27,Private,16830.0,SUV,no,2,15.0,Highly Rural/ Rural,4
32.0,9.0,31275.0,26,Private,10030.0,SUV,no,0,1.0,Highly Urban/ Urban,5
44.0,17.0,45488.0,16,Private,22090.0,Minivan,no,0,12.0,Highly Urban/ Urban,4
35.0,8.0,72193.0,26,Private,12220.0,SUV,no,3,12.0,Highly Urban/ Urban,5
40.0,0.0,0.0,15,Private,14130.0,SUV,no,4,12.0,Highly Rural/ Rural,4
54.0,12.0,33212.0,27,Commercial,24000.0,Panel Truck,no,5,1.0,Highly Urban/ Urban,6
49.0,5.0,49244.0,30,Private,15880.0,Minivan,no,1,1.0,Highly Urban/ Urban,5
36.0,12.0,130540.0,5,Commercial,27200.0,Minivan,no,0,9.0,Highly Rural/ Rural,6
52.0,8.0,51278.0,37,Private,1500.0,SUV,no,1,10.0,Highly Urban/ Urban,5
41.0,7.0,92842.0,12,Commercial,25810.0,Panel Truck,no,5,15.0,Highly Urban/ Urban,6
39.0,10.0,35081.0,38,Commercial,16640.0,Van,yes,0,13.0,Highly Urban/ Urban,5
56.0,0.0,0.0,65,Private,13220.0,Minivan,no,0,12.0,Highly Rural/ Rural,4
49.0,12.0,115044.0,18,Private,17900.0,Minivan,no,0,14.0,Highly Urban/ Urban,5
38.0,11.0,37754.0,47,Private,12080.0,SUV,no,2,9.0,Highly Rural/ Rural,5
43.0,17.0,145353.0,38,Commercial,29450.0,Van,no,0,15.0,Highly Urban/ Urban,6
50.0,8.0,167469.0,22,Private,34150.0,Sports Car,no,3,1.0,Highly Urban/ Urban,7
63.0,15.0,121398.0,10,Private,16270.0,SUV,no,0,11.0,Highly Urban/ Urban,6
52.0,0.0,0.0,48,Commercial,9280.0,SUV,no,1,6.0,Highly Rural/ Rural,6
35.0,7.0,14508.0,22,Commercial,6450.0,Pickup,no,0,7.0,Highly Urban/ Urban,6
43.0,13.0,75338.0,40,Private,23080.0,Sports Car,no,0,8.0,Highly Urban/ Urban,7
41.0,10.0,32774.0,44,Private,20120.0,Minivan,no,0,1.0,Highly Rural/ Rural,5
40.0,11.0,57474.0,5,Commercial,29270.0,Panel Truck,yes,1,5.0,Highly Urban/ Urban,6
31.0,12.0,26520.0,62,Commercial,4600.0,Minivan,yes,2,5.0,Highly Urban/ Urban,5
47.0,8.0,18444.0,35,Commercial,19450.0,SUV,no,5,1.0,Highly Urban/ Urban,6
53.0,12.0,107259.0,36,Private,29230.0,Minivan,yes,0,15.0,Highly Urban/ Urban,6
39.0,7.0,34046.0,33,Private,4040.0,SUV,no,0,5.0,Highly Rural/ Rural,4
33.0,14.0,32364.0,40,Private,12270.0,Minivan,yes,3,1.0,Highly Urban/ Urban,5
59.0,5.0,106775.0,10,Private,31930.0,Minivan,yes,0,1.0,Highly Urban/ Urban,8
42.0,12.0,52988.0,24,Commercial,23450.0,Minivan,no,2,11.0,Highly Rural/ Rural,4
40.0,11.0,16989.0,20,Commercial,12230.0,Pickup,yes,13,6.0,Highly Urban/ Urban,8
41.0,7.0,17755.0,29,Private,14480.0,Minivan,yes,2,1.0,Highly Urban/ Urban,5
37.0,13.0,0.0,62,Commercial,9360.0,Sports Car,no,0,1.0,Highly Urban/ Urban,5
36.0,12.0,56048.0,15,Private,10700.0,Minivan,no,2,16.0,Highly Urban/ Urban,6
44.0,15.0,16352.0,37,Private,10520.0,SUV,no,1,1.0,Highly Urban/ Urban,5
56.0,16.0,44760.0,30,Private,21770.0,Minivan,yes,0,6.0,Highly Urban/ Urban,6
45.0,14.0,63952.0,50,Private,32340.0,Van,no,0,13.0,Highly Urban/ Urban,5
34.0,12.0,22510.0,26,Private,14690.0,Minivan,yes,0,1.0,Highly Rural/ Rural,4
48.0,12.0,0.0,14,Commercial,28560.0,Panel Truck,yes,1,10.0,Highly Urban/ Urban,5
44.0,12.0,24060.0,24,Private,14220.0,Minivan,no,0,10.0,Highly Urban/ Urban,4
33.0,12.0,20822.0,46,Private,6880.0,SUV,no,0,1.0,Highly Urban/ Urban,4
32.0,14.0,54968.0,20,Private,10040.0,SUV,no,0,8.0,Highly Urban/ Urban,6
34.0,8.0,14194.0,13,Private,2920.0,Sports Car,no,2,10.0,Highly Urban/ Urban,4
38.0,12.0,2149.0,35,Private,22690.0,Pickup,no,2,1.0,Highly Urban/ Urban,4
35.0,12.0,0.0,43,Private,9730.0,SUV,no,4,4.0,Highly Urban/ Urban,5
44.0,14.0,45576.0,27,Private,1500.0,Sports Car,no,8,1.0,Highly Urban/ Urban,6
43.0,11.0,137103.0,29,Private,19510.0,Sports Car,no,0,15.0,Highly Urban/ Urban,6
49.0,9.0,0.0,31,Commercial,33710.0,Panel Truck,no,2,18.0,Highly Urban/ Urban,8
46.0,10.0,79538.0,13,Private,14050.0,Minivan,no,2,11.0,Highly Urban/ Urban,5
45.0,11.0,185836.0,28,Private,10250.0,SUV,no,6,20.0,Highly Urban/ Urban,8
46.0,14.0,0.0,22,Commercial,33320.0,Panel Truck,yes,1,12.0,Highly Urban/ Urban,6
45.0,11.0,61931.0,30,Commercial,10910.0,Pickup,yes,0,1.0,Highly Urban/ Urban,6
48.0,9.0,61509.0,40,Commercial,23230.0,Panel Truck,yes,1,17.0,Highly Urban/ Urban,9
63.0,9.0,74426.0,11,Private,27600.0,SUV,no,0,18.0,Highly Urban/ Urban,8
44.0,9.0,74722.0,9,Private,23640.0,Minivan,no,0,1.0,Highly Urban/ Urban,5
45.0,11.0,102393.0,25,Private,1500.0,Minivan,yes,2,11.0,Highly Urban/ Urban,5
62.0,15.0,40656.0,57,Private,9170.0,Sports Car,no,2,7.0,Highly Urban/ Urban,7
48.0,0.0,0.0,50,Private,8660.0,Sports Car,no,3,1.0,Highly Urban/ Urban,5
37.0,12.0,0.0,43,Commercial,5200.0,SUV,no,1,3.0,Highly Urban/ Urban,5
35.0,12.0,29371.0,49,Private,4860.0,Sports Car,no,0,1.0,Highly Urban/ Urban,5
48.0,12.0,31773.0,14,Commercial,9640.0,Pickup,no,4,1.0,Highly Urban/ Urban,5
39.0,11.0,33727.0,27,Private,10850.0,SUV,no,2,12.0,Highly Urban/ Urban,4
49.0,0.0,0.0,42,Private,6400.0,SUV,no,6,14.0,Highly Urban/ Urban,5
44.0,15.0,139330.0,35,Commercial,22050.0,Sports Car,no,0,1.0,Highly Rural/ Rural,6
50.0,13.0,163296.0,42,Private,22830.0,Minivan,no,0,14.0,Highly Rural/ Rural,5
30.0,10.0,17455.0,50,Private,12380.0,Minivan,no,0,6.0,Highly Rural/ Rural,5
54.0,12.0,71007.0,61,Private,14000.0,Minivan,no,0,11.0,Highly Urban/ Urban,5
38.0,0.0,0.0,41,Commercial,17470.0,Van,no,5,6.0,Highly Rural/ Rural,6
53.0,6.0,38036.0,32,Commercial,13140.0,SUV,no,4,1.0,Highly Urban/ Urban,6
53.0,13.0,41199.0,21,Private,15360.0,SUV,no,0,8.0,Highly Urban/ Urban,6
29.0,10.0,38042.0,15,Private,15160.0,Minivan,no,0,1.0,Highly Urban/ Urban,4
58.0,11.0,91223.0,23,Private,10620.0,Pickup,no,0,1.0,Highly Urban/ Urban,6
55.0,7.0,45787.0,5,Private,19380.0,Minivan,no,0,13.0,Highly Urban/ Urban,4
55.0,12.0,84964.0,21,Commercial,5760.0,Pickup,yes,6,11.0,Highly Urban/ Urban,6
56.0,8.0,38240.0,28,Private,16220.0,SUV,no,0,1.0,Highly Rural/ Rural,5
39.0,0.0,0.0,36,Private,8750.0,Sports Car,no,0,8.0,Highly Urban/ Urban,6
44.0,13.0,142588.0,28,Private,21790.0,Minivan,yes,2,9.0,Highly Urban/ Urban,7
34.0,11.0,51565.0,36,Private,18110.0,Van,yes,3,15.0,Highly Urban/ Urban,5
34.0,0.0,0.0,25,Private,11740.0,SUV,no,2,1.0,Highly Urban/ Urban,4
36.0,11.0,105384.0,24,Private,13800.0,Minivan,yes,4,17.0,Highly Urban/ Urban,7
41.0,10.0,66265.0,59,Private,12230.0,Minivan,yes,1,9.0,Highly Urban/ Urban,7
46.0,7.0,0.0,17,Commercial,23350.0,Panel Truck,yes,6,17.0,Highly Urban/ Urban,8
45.0,12.0,32394.0,33,Private,13770.0,SUV,no,0,1.0,Highly Urban/ Urban,5
42.0,9.0,76226.0,18,Commercial,23390.0,Panel Truck,yes,0,14.0,Highly Urban/ Urban,6
38.0,16.0,7528.0,26,Private,8080.0,Pickup,yes,0,8.0,Highly Rural/ Rural,5
33.0,0.0,0.0,14,Commercial,15090.0,Minivan,yes,2,5.0,Highly Urban/ Urban,5
37.0,0.0,0.0,48,Commercial,12850.0,SUV,no,3,6.0,Highly Urban/ Urban,6
42.0,9.0,32797.0,63,Private,21690.0,Minivan,no,2,14.0,Highly Urban/ Urban,5
47.0,11.0,44705.0,50,Private,12840.0,SUV,no,0,10.0,Highly Urban/ Urban,5
43.0,0.0,0.0,26,Private,8350.0,SUV,no,3,7.0,Highly Urban/ Urban,5
52.0,9.0,68992.0,36,Commercial,15120.0,Minivan,no,3,10.0,Highly Rural/ Rural,5
43.0,11.0,132561.0,8,Commercial,30150.0,Panel Truck,no,0,1.0,Highly Urban/ Urban,7
64.0,15.0,31738.0,23,Commercial,14620.0,SUV,no,0,1.0,Highly Urban/ Urban,6
66.0,17.0,96830.0,23,Private,11180.0,SUV,no,0,16.0,Highly Urban/ Urban,8
60.0,9.0,125893.0,21,Commercial,7500.0,Pickup,yes,4,15.0,Highly Urban/ Urban,7
35.0,6.0,154577.0,27,Private,20450.0,SUV,no,3,1.0,Highly Urban/ Urban,6
52.0,7.0,64014.0,33,Commercial,7900.0,Pickup,yes,1,5.0,Highly Urban/ Urban,6
52.0,11.0,79348.0,23,Private,13150.0,SUV,no,2,1.0,Highly Urban/ Urban,5
56.0,14.0,192089.0,31,Commercial,21100.0,Van,yes,0,1.0,Highly Urban/ Urban,7
38.0,7.0,0.0,40,Private,7050.0,Sports Car,no,0,10.0,Highly Rural/ Rural,4
55.0,15.0,108152.0,18,Private,12320.0,SUV,no,0,15.0,Highly Urban/ Urban,5
47.0,14.0,0.0,48,Private,21320.0,Van,yes,0,13.0,Highly Urban/ Urban,5
37.0,12.0,123520.0,14,Commercial,17550.0,Van,no,0,1.0,Highly Urban/ Urban,5
47.0,13.0,45257.0,33,Commercial,29210.0,Panel Truck,yes,0,1.0,Highly Urban/ Urban,6
26.0,8.0,53244.0,28,Commercial,20920.0,Van,yes,1,8.0,Highly Urban/ Urban,7
61.0,17.0,41857.0,35,Private,20870.0,Sports Car,no,0,21.0,Highly Urban/ Urban,7
41.0,8.0,126468.0,34,Commercial,32690.0,Pickup,no,2,18.0,Highly Urban/ Urban,9
40.0,9.0,75516.0,53,Commercial,13050.0,Sports Car,no,0,6.0,Highly Rural/ Rural,7
52.0,16.0,76954.0,44,Private,19540.0,Minivan,yes,0,11.0,Highly Urban/ Urban,5
58.0,8.0,150352.0,21,Private,24240.0,Pickup,no,0,17.0,Highly Urban/ Urban,8
52.0,8.0,88560.0,14,Private,13630.0,Minivan,no,4,17.0,Highly Urban/ Urban,7
38.0,12.0,37580.0,36,Private,5260.0,SUV,no,0,1.0,Highly Urban/ Urban,4
41.0,15.0,23344.0,10,Private,7930.0,Pickup,no,1,1.0,Highly Urban/ Urban,4
37.0,16.0,43290.0,29,Private,23640.0,SUV,no,0,10.0,Highly Urban/ Urban,4
48.0,10.0,48737.0,24,Private,11220.0,Pickup,yes,1,1.0,Highly Urban/ Urban,6
47.0,12.0,64259.0,26,Private,25100.0,Minivan,no,3,9.0,Highly Urban/ Urban,6
41.0,12.0,110386.0,21,Commercial,16640.0,Van,yes,2,14.0,Highly Urban/ Urban,6
49.0,12.0,53765.0,5,Private,12360.0,SUV,no,0,1.0,Highly Urban/ Urban,5
41.0,6.0,12541.0,5,Private,7500.0,Minivan,yes,0,1.0,Highly Rural/ Rural,4
47.0,12.0,104271.0,40,Commercial,36120.0,Panel Truck,yes,0,11.0,Highly Urban/ Urban,7
30.0,12.0,26226.0,68,Private,23610.0,SUV,no,1,1.0,Highly Rural/ Rural,4
44.0,12.0,67278.0,49,Private,20210.0,Minivan,no,0,16.0,Highly Rural/ Rural,6
46.0,10.0,104990.0,40,Private,16080.0,SUV,no,0,7.0,Highly Urban/ Urban,8
49.0,6.0,89948.0,37,Private,18160.0,SUV,no,4,9.0,Highly Urban/ Urban,8
33.0,12.0,111427.0,35,Commercial,28180.0,Van,no,3,4.0,Highly Urban/ Urban,5
34.0,12.0,29431.0,12,Private,22560.0,Minivan,no,1,1.0,Highly Urban/ Urban,4
44.0,14.0,44790.0,5,Commercial,19800.0,Pickup,no,4,9.0,Highly Urban/ Urban,7
43.0,11.0,76159.0,52,Private,19750.0,SUV,no,0,1.0,Highly Urban/ Urban,6
62.0,6.0,107734.0,54,Private,18470.0,SUV,no,0,15.0,Highly Urban/ Urban,7
42.0,0.0,0.0,47,Commercial,5700.0,Pickup,yes,5,1.0,Highly Urban/ Urban,6
36.0,12.0,25282.0,38,Private,11160.0,SUV,no,0,1.0,Highly Rural/ Rural,4
47.0,11.0,18549.0,24,Private,12800.0,Minivan,no,0,14.0,Highly Urban/ Urban,4
50.0,14.0,0.0,11,Commercial,17300.0,Van,yes,0,7.0,Highly Urban/ Urban,6
51.0,9.0,50166.0,32,Commercial,11620.0,Pickup,no,0,1.0,Highly Urban/ Urban,6
46.0,8.0,73872.0,43,Private,20240.0,Sports Car,no,0,16.0,Highly Rural/ Rural,8
50.0,14.0,73343.0,60,Private,20010.0,Minivan,no,4,8.0,Highly Urban/ Urban,7
43.0,15.0,49849.0,35,Private,13130.0,SUV,no,4,20.0,Highly Urban/ Urban,7
39.0,16.0,12054.0,28,Commercial,15760.0,Pickup,no,4,1.0,Highly Urban/ Urban,5
43.0,14.0,48184.0,50,Commercial,14530.0,Sports Car,no,5,1.0,Highly Urban/ Urban,7
60.0,18.0,78936.0,40,Private,20350.0,SUV,no,0,15.0,Highly Urban/ Urban,6
55.0,0.0,0.0,33,Private,7000.0,Pickup,no,0,1.0,Highly Rural/ Rural,4
40.0,10.0,78914.0,36,Private,5500.0,SUV,no,6,10.0,Highly Urban/ Urban,5
39.0,6.0,77125.0,49,Private,9570.0,Sports Car,no,1,13.0,Highly Urban/ Urban,5
49.0,12.0,38326.0,5,Private,10230.0,Pickup,yes,0,17.0,Highly Urban/ Urban,7
38.0,14.0,25835.0,29,Private,8490.0,Pickup,yes,1,12.0,Highly Urban/ Urban,4
42.0,12.0,47660.0,31,Private,11940.0,Pickup,yes,6,18.0,Highly Urban/ Urban,7
42.0,10.0,123143.0,16,Private,24930.0,Minivan,no,3,14.0,Highly Urban/ Urban,5
49.0,8.0,22059.0,24,Commercial,21990.0,Pickup,no,1,1.0,Highly Urban/ Urban,6
36.0,12.0,50750.0,26,Private,10170.0,SUV,no,7,14.0,Highly Urban/ Urban,5
34.0,10.0,23571.0,35,Commercial,12180.0,Pickup,yes,0,7.0,Highly Urban/ Urban,7
49.0,0.0,0.0,29,Private,18110.0,SUV,no,1,1.0,Highly Urban/ Urban,5
52.0,12.0,35631.0,39,Private,6040.0,Minivan,yes,0,1.0,Highly Urban/ Urban,5
50.0,11.0,129234.0,37,Private,21200.0,Van,yes,0,1.0,Highly Urban/ Urban,6
53.0,12.0,0.0,16,Private,11650.0,SUV,no,2,7.0,Highly Urban/ Urban,6
55.0,14.0,55409.0,45,Commercial,27890.0,Panel Truck,no,0,14.0,Highly Rural/ Rural,5
40.0,12.0,35260.0,30,Private,9740.0,SUV,no,8,1.0,Highly Urban/ Urban,5
40.0,15.0,48067.0,21,Private,18120.0,Minivan,no,0,8.0,Highly Urban/ Urban,5
45.0,12.0,64867.0,21,Private,12490.0,SUV,no,0,10.0,Highly Urban/ Urban,5
80.0,23.0,97716.0,14,Private,15920.0,Minivan,yes,2,10.0,Highly Urban/ Urban,6
48.0,10.0,39613.0,48,Commercial,8460.0,Pickup,yes,6,1.0,Highly Urban/ Urban,7
37.0,11.0,0.0,69,Private,14130.0,Minivan,yes,1,1.0,Highly Rural/ Rural,4
40.0,11.0,49780.0,52,Private,10500.0,Sports Car,no,0,1.0,Highly Rural/ Rural,5
26.0,9.0,33283.0,37,Commercial,7690.0,Pickup,no,2,16.0,Highly Urban/ Urban,7
45.0,11.0,60845.0,31,Private,24260.0,Minivan,no,0,18.0,Highly Urban/ Urban,6
46.0,7.0,26697.0,43,Private,15080.0,SUV,no,4,1.0,Highly Urban/ Urban,6
42.0,12.0,136344.0,45,Private,13160.0,Sports Car,no,0,17.0,Highly Urban/ Urban,8
36.0,7.0,70313.0,55,Private,14960.0,Minivan,no,5,4.0,Highly Urban/ Urban,6
45.0,15.0,23773.0,9,Commercial,34510.0,Van,no,0,1.0,Highly Rural/ Rural,5
52.0,11.0,115713.0,28,Private,21660.0,Sports Car,no,0,11.0,Highly Rural/ Rural,5
41.0,8.0,55364.0,17,Commercial,31390.0,Panel Truck,yes,3,1.0,Highly Rural/ Rural,7
36.0,14.0,27693.0,37,Private,11300.0,Sports Car,no,4,7.0,Highly Urban/ Urban,7
56.0,0.0,0.0,29,Private,27890.0,SUV,no,0,9.0,Highly Urban/ Urban,6
53.0,0.0,0.0,34,Private,1500.0,Sports Car,no,2,7.0,Highly Rural/ Rural,5
39.0,12.0,32936.0,12,Private,1500.0,SUV,no,0,7.0,Highly Urban/ Urban,5
38.0,11.0,33151.0,31,Private,11530.0,SUV,no,0,9.0,Highly Rural/ Rural,5
45.0,0.0,0.0,36,Private,16510.0,Minivan,no,0,1.0,Highly Urban/ Urban,5
46.0,14.0,24575.0,73,Private,8560.0,Sports Car,no,0,9.0,Highly Rural/ Rural,6
43.0,16.0,32546.0,49,Private,5800.0,Minivan,yes,1,5.0,Highly Urban/ Urban,5
54.0,0.0,0.0,21,Private,18820.0,SUV,no,6,9.0,Highly Urban/ Urban,6
55.0,16.0,163158.0,44,Commercial,23320.0,Panel Truck,no,3,19.0,Highly Urban/ Urban,8
61.0,10.0,58212.0,37,Private,13420.0,Sports Car,no,3,1.0,Highly Rural/ Rural,7
50.0,7.0,73308.0,38,Private,18720.0,Van,no,2,19.0,Highly Rural/ Rural,7
62.0,12.0,22181.0,24,Private,17880.0,Sports Car,no,5,1.0,Highly Urban/ Urban,6
53.0,15.0,84345.0,36,Private,9930.0,SUV,no,3,5.0,Highly Urban/ Urban,5
52.0,12.0,24590.0,59,Commercial,10350.0,Minivan,yes,0,1.0,Highly Urban/ Urban,6
54.0,15.0,107808.0,45,Commercial,27020.0,Pickup,no,0,6.0,Highly Urban/ Urban,8
53.0,13.0,52759.0,41,Private,24160.0,Minivan,no,0,13.0,Highly Rural/ Rural,4
51.0,15.0,76443.0,7,Private,25450.0,SUV,no,5,1.0,Highly Urban/ Urban,6
39.0,12.0,59685.0,42,Commercial,7470.0,Pickup,no,0,1.0,Highly Rural/ Rural,5
38.0,12.0,90647.0,38,Private,13740.0,Minivan,no,0,15.0,Highly Rural/ Rural,4
42.0,10.0,43174.0,48,Commercial,10020.0,Pickup,yes,0,1.0,Highly Urban/ Urban,7
31.0,14.0,30653.0,41,Private,12930.0,Sports Car,no,0,7.0,Highly Urban/ Urban,6
44.0,4.0,146267.0,51,Commercial,6720.0,Pickup,no,0,10.0,Highly Urban/ Urban,7
41.0,0.0,0.0,18,Private,32090.0,Minivan,no,0,17.0,Highly Rural/ Rural,6
36.0,0.0,0.0,54,Private,1500.0,SUV,no,5,10.0,Highly Urban/ Urban,4
48.0,10.0,84629.0,35,Private,15060.0,SUV,no,0,10.0,Highly Urban/ Urban,5
49.0,13.0,59148.0,18,Private,12310.0,SUV,no,0,1.0,Highly Urban/ Urban,5
45.0,17.0,111268.0,46,Private,24600.0,Van,no,2,10.0,Highly Urban/ Urban,5
47.0,10.0,81899.0,25,Private,14390.0,Minivan,yes,0,1.0,Highly Urban/ Urban,6
41.0,10.0,97700.0,43,Private,26250.0,Pickup,no,0,6.0,Highly Rural/ Rural,7
45.0,12.0,1158.0,10,Commercial,6120.0,SUV,no,0,1.0,Highly Rural/ Rural,4
53.0,15.0,114088.0,25,Private,22920.0,Pickup,no,0,8.0,Highly Urban/ Urban,7
51.0,13.0,80621.0,27,Private,25700.0,Van,no,0,1.0,Highly Urban/ Urban,5
51.0,12.0,94328.0,44,Private,6900.0,Sports Car,no,0,1.0,Highly Urban/ Urban,6
36.0,11.0,49703.0,37,Commercial,42550.0,Panel Truck,yes,0,20.0,Highly Urban/ Urban,8
43.0,12.0,0.0,55,Private,8160.0,SUV,no,0,6.0,Highly Urban/ Urban,6
43.0,11.0,0.0,32,Commercial,13160.0,Minivan,no,3,1.0,Highly Urban/ Urban,5
53.0,13.0,25289.0,31,Private,13850.0,SUV,no,0,7.0,Highly Urban/ Urban,6
40.0,7.0,95405.0,34,Commercial,24220.0,Panel Truck,no,3,14.0,Highly Urban/ Urban,5
31.0,14.0,26112.0,58,Private,14030.0,SUV,no,0,5.0,Highly Rural/ Rural,4
32.0,13.0,30955.0,9,Private,7800.0,SUV,no,0,8.0,Highly Urban/ Urban,5
58.0,12.0,131560.0,40,Private,14870.0,SUV,no,2,14.0,Highly Urban/ Urban,6
49.0,15.0,89612.0,23,Commercial,6400.0,Pickup,yes,0,23.0,Highly Urban/ Urban,7
50.0,14.0,90566.0,40,Private,23260.0,Van,no,0,18.0,Highly Urban/ Urban,7
45.0,12.0,62447.0,39,Commercial,12240.0,Minivan,yes,0,1.0,Highly Urban/ Urban,6
46.0,5.0,108701.0,39,Private,12070.0,SUV,no,0,17.0,Highly Urban/ Urban,9
47.0,12.0,94774.0,43,Commercial,21070.0,Van,no,1,13.0,Highly Urban/ Urban,5
43.0,16.0,72357.0,40,Commercial,23190.0,Minivan,yes,0,7.0,Highly Urban/ Urban,7
41.0,12.0,80718.0,29,Private,26480.0,Sports Car,no,5,8.0,Highly Urban/ Urban,7
48.0,11.0,140112.0,47,Commercial,28380.0,Pickup,no,2,17.0,Highly Urban/ Urban,8
39.0,11.0,19016.0,22,Commercial,10950.0,Pickup,yes,0,8.0,Highly Rural/ Rural,6
49.0,0.0,0.0,55,Private,19810.0,Minivan,no,1,1.0,Highly Rural/ Rural,4
45.0,12.0,19909.0,14,Private,7990.0,Sports Car,no,0,1.0,Highly Urban/ Urban,5
36.0,12.0,4885.0,35,Private,7080.0,SUV,no,5,17.0,Highly Urban/ Urban,6
59.0,12.0,119382.0,26,Commercial,24130.0,Pickup,no,0,16.0,Highly Urban/ Urban,8
60.0,13.0,89511.0,5,Commercial,11380.0,Pickup,yes,0,15.0,Highly Urban/ Urban,6
49.0,15.0,107375.0,12,Private,19840.0,SUV,no,0,1.0,Highly Urban/ Urban,6
45.0,13.0,36947.0,32,Private,6200.0,SUV,no,0,1.0,Highly Urban/ Urban,4
34.0,13.0,27581.0,38,Commercial,12250.0,Minivan,yes,6,5.0,Highly Rural/ Rural,5
57.0,14.0,8212.0,5,Private,7200.0,Pickup,yes,0,1.0,Highly Urban/ Urban,5
33.0,11.0,86187.0,81,Private,13420.0,Minivan,no,1,5.0,Highly Rural/ Rural,5
52.0,12.0,42255.0,61,Commercial,22280.0,Minivan,no,1,12.0,Highly Urban/ Urban,5
53.0,13.0,37646.0,19,Private,16020.0,SUV,no,0,10.0,Highly Urban/ Urban,4
57.0,8.0,0.0,41,Commercial,32530.0,Minivan,no,2,9.0,Highly Urban/ Urban,8
37.0,11.0,116043.0,40,Private,16800.0,SUV,no,3,9.0,Highly Urban/ Urban,7
45.0,12.0,89479.0,30,Private,14950.0,Minivan,yes,0,8.0,Highly Urban/ Urban,6
38.0,8.0,92917.0,57,Private,15120.0,Minivan,yes,0,4.0,Highly Rural/ Rural,5
36.0,7.0,29741.0,32,Private,8070.0,SUV,no,0,7.0,Highly Urban/ Urban,5
51.0,12.0,3673.0,5,Commercial,11180.0,Pickup,no,0,1.0,Highly Rural/ Rural,5
39.0,15.0,61370.0,6,Commercial,21770.0,Van,yes,0,12.0,Highly Urban/ Urban,5
51.0,13.0,32159.0,46,Private,2600.0,SUV,no,2,6.0,Highly Rural/ Rural,5
40.0,14.0,20126.0,5,Private,8260.0,SUV,no,0,1.0,Highly Urban/ Urban,4
54.0,11.0,44782.0,83,Private,30260.0,SUV,no,0,9.0,Highly Urban/ Urban,7
